term	crse	class section	descr	min credit	max credit	start dt	end dt	days	start time	end time	newlibintensives	newlib	consent	instruction mode	cap	enrolled	combined section	note	class stat	enrolling	prereqs
Spring, 2025-26	CPSC-2300-01	01	System Administration (24)	3.0	3.0	01/14/2026	05/08/2026	F	01:00PM	02:50PM			No Consent Required	In Person	24	20			active	Open	
Spring, 2025-26	CPSC-2300-01	01	System Administration (24)	3.0	3.0	01/14/2026	05/08/2026	MW	01:00PM	01:50PM			No Consent Required	In Person	24	20			active	Open	
Spring, 2025-26	CPSC-2430-01	01	Programming Languages and Compilers (23)	2.0	2.0	01/14/2026	05/08/2026	R	01:00PM	02:50PM			No Consent Required	In Person	32	8			active	Open	
Spring, 2025-26	CPSC-2430-01	01	Programming Languages and Compilers (23)	2.0	2.0	01/14/2026	05/08/2026	W	02:00PM	02:50PM			No Consent Required	In Person	32	8			active	Open	
Spring, 2025-26	CPSC-2600-01	01	Topics in Computer Science: (23)	1.0	4.0	03/16/2026	05/08/2026	R	04:00PM	06:00PM			Consent Required	In Person	40	25			active	Open	
Spring, 2025-26	CPSC-3480-01	01	Network Security (25)	3.0	3.0	01/14/2026	05/08/2026	MW	02:00PM	02:50PM			No Consent Required	In Person	24	10			active	Open	
Spring, 2025-26	CPSC-3480-01	01	Network Security (25)	3.0	3.0	01/14/2026	05/08/2026	R	01:00PM	02:50PM			No Consent Required	In Person	24	10			active	Open	
Spring, 2025-26	CPSC-3540-01	01	Intro to Machine Learning (25)	3.0	3.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM			No Consent Required	In Person	24	15			active	Open	
Spring, 2025-26	CPSC-4070-01	01	Cybersecurity Analysis and Digital Forensics (25)	3.0	3.0	01/14/2026	05/08/2026	MW	09:00AM	09:50AM			No Consent Required	In Person	32	17			active	Open	
Spring, 2025-26	CPSC-4070-01	01	Cybersecurity Analysis and Digital Forensics (25)	3.0	3.0	01/14/2026	05/08/2026	R	09:00AM	10:50AM			No Consent Required	In Person	32	17			active	Open	
Spring, 2025-26	CPSC-4420-01	01	Operating Systems (23)	4.0	4.0	01/14/2026	05/08/2026	F	01:00PM	02:50PM			No Consent Required	In Person	32	7			active	Open	
Spring, 2025-26	CPSC-4420-01	01	Operating Systems (23)	4.0	4.0	01/14/2026	05/08/2026	MTW	01:00PM	01:50PM			No Consent Required	In Person	32	7			active	Open	
Spring, 2025-26	CPSC-4480-01	01	Technical Certification (23)	1.0	1.0	01/14/2026	05/08/2026	F	09:00AM	09:50AM			No Consent Required	In Person	32	15			active	Open	
Spring, 2025-26	CPSC-4800-01	01	Software Engineering Intern (23)	2.0	4.0	01/14/2026	05/08/2026						Consent Required	In Person	10	2			active	Open	
Spring, 2025-26	CPSC-4820-01	01	Cybersecurity Internship (23)	2.0	4.0	01/14/2026	05/08/2026						Consent Required	In Person	10	0			active	Open	
Spring, 2025-26	CPSC-4820-02	02	Cybersecurity Internship (23)	2.0	4.0	01/14/2026	05/08/2026						Not Enrolling	In Person	10	1			active	Closed	
Spring, 2025-26	CPSC-4960-01	01	Senior Seminar Ethics (23)	1.0	1.0	01/14/2026	05/08/2026	T	12:00PM	12:50PM	Writing Intensive Upper Div		No Consent Required	In Person	32	14			active	Open	
Spring, 2025-26	CPSC-4970-01	01	Senior Project (23)	2.0	4.0	01/14/2026	05/08/2026						Not Enrolling	In Person	10	2			active	Closed	
Spring, 2025-26	CPSC-4970-02	02	Senior Project (23)	2.0	4.0	01/14/2026	05/08/2026						Consent Required	In Person	10	1			active	Open	
Spring, 2025-26	CPSC-4970-03	03	Senior Project (23)	2.0	4.0	01/14/2026	05/08/2026						Consent Required	In Person	10	2			active	Open	
Spring, 2025-26	CRIM-2510-0B	0B	The Nature of Crime and Social Deviance (23)	4.0	4.0	01/14/2026	05/08/2026	MWF	11:00AM	11:50AM	Writing Intensive		No Consent Required	Hybrid	30	7	C	Same: CRIM/SOCI2510	active	Open	
Spring, 2025-26	CRIM-2520-0E	0E	Introduction to Criminal Justice (23)	3.0	3.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	50	13			active	Open	
Spring, 2025-26	CRIM-2560-01	01	Introduction to Criminal Forensic Science (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	10:00AM	10:50AM			No Consent Required	In Person	25	14			active	Open	
Spring, 2025-26	CRIM-2600-01	01	Topics in Criminal Justice: (23)	1.0	4.0	03/16/2026	05/08/2026	R	04:00PM	06:00PM			Consent Required	In Person	40	25			active	Open	
Spring, 2025-26	CRIM-3020-01	01	Principles of Law Enforcement (23)	3.0	3.0	01/14/2026	05/08/2026	TR	09:30AM	10:45AM			No Consent Required	In Person	40	9			active	Open	
Spring, 2025-26	CRIM-3350-01	01	Homeland Security (23)	3.0	3.0	01/14/2026	05/08/2026	MWF	02:00PM	02:50PM			No Consent Required	In Person	35	5	C	Same: POSC/CRIM3350	active	Open	
Spring, 2025-26	CRIM-4810-01	01	Criminal Justice Internship I (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	2			active	Open	
Spring, 2025-26	CRIM-4820-01	01	Criminal Justice Internship II (23)	1.0	4.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	15	1			active	Open	
Spring, 2025-26	DANC-1150-01	01	Dance Repertory (23)	0.0	1.0	01/14/2026	05/08/2026						No Consent Required	Asynchronous Online	25	4			active	Open	
